geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101008802,University City,8.443595886,Average,267,Particulate matter concentration,Southwest,University City 9
42101009000,University City,8.438373566,Average,262,Particulate matter concentration,West,University City 10
42101009100,University City,8.441586494,Average,265,Particulate matter concentration,West,University City 11
42101009200,Mill Creek-Parkside,8.439023972,Average,263,Particulate matter concentration,West,Mill Creek-Parkside 1
42101009300,Haddington-Overbrook,8.373418808,Average,203,Particulate matter concentration,West,Haddington-Overbrook 1
42101009400,Haddington-Overbrook,8.365515709,Average,201,Particulate matter concentration,West,Haddington-Overbrook 2
42101009500,Haddington-Overbrook,8.359947205,Average,198,Particulate matter concentration,West,Haddington-Overbrook 3
42101009600,Haddington-Overbrook,8.35956192,Average,188,Particulate matter concentration,West,Haddington-Overbrook 4
42101009801,Overbrook Park-Wynnefield Heights,8.35956192,Average,188,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 1
42101009802,Overbrook Park-Wynnefield Heights,8.364605904,Average,200,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 2
42101010000,Haddington-Overbrook,8.35956192,Average,188,Particulate matter concentration,West,Haddington-Overbrook 5
42101010100,Haddington-Overbrook,8.359560966,Average,185,Particulate matter concentration,West,Haddington-Overbrook 6
42101010200,Haddington-Overbrook,8.35956192,Average,188,Particulate matter concentration,West,Haddington-Overbrook 7
42101010300,Mill Creek-Parkside,8.35956192,Average,188,Particulate matter concentration,West,Mill Creek-Parkside 2
42101010400,Mill Creek-Parkside,8.364366531,Average,199,Particulate matter concentration,West,Mill Creek-Parkside 3
42101010500,Mill Creek-Parkside,8.408947945,Average,228,Particulate matter concentration,West,Mill Creek-Parkside 4
42101010600,Mill Creek-Parkside,8.414942741,Average,231,Particulate matter concentration,West,Mill Creek-Parkside 5
42101010700,Mill Creek-Parkside,8.414943695,Average,240,Particulate matter concentration,West,Mill Creek-Parkside 6
42101010800,Mill Creek-Parkside,8.414971352,Average,253,Particulate matter concentration,West,Mill Creek-Parkside 7
42101010900,Mill Creek-Parkside,8.414942741,Average,231,Particulate matter concentration,West,Mill Creek-Parkside 8
42101011000,Mill Creek-Parkside,8.414943695,Average,240,Particulate matter concentration,West,Mill Creek-Parkside 9
42101011100,Mill Creek-Parkside,8.365818977,Average,202,Particulate matter concentration,West,Mill Creek-Parkside 10
42101011200,Haddington-Overbrook,8.35956192,Average,188,Particulate matter concentration,West,Haddington-Overbrook 8
42101011300,Haddington-Overbrook,8.359560966,Average,185,Particulate matter concentration,West,Haddington-Overbrook 9
42101011400,Haddington-Overbrook,8.35956192,Average,188,Particulate matter concentration,West,Haddington-Overbrook 10
42101011500,Haddington-Overbrook,8.359560966,Average,185,Particulate matter concentration,West,Haddington-Overbrook 11
42101011700,Overbrook Park-Wynnefield Heights,8.359408379,Average,184,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 3
42101011800,Overbrook Park-Wynnefield Heights,8.35956192,Average,188,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 4
42101011900,Overbrook Park-Wynnefield Heights,8.35956192,Average,188,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 5
42101012000,Overbrook Park-Wynnefield Heights,8.344347954,Average,182,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 6
42101012100,Overbrook Park-Wynnefield Heights,8.33937645,Average,181,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 7
42101012201,Overbrook Park-Wynnefield Heights,8.285245895,Average,144,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 8
42101012203,Overbrook Park-Wynnefield Heights,8.285244942,Average,138,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 9
42101012204,Overbrook Park-Wynnefield Heights,8.299594879,Average,176,Particulate matter concentration,West,Overbrook Park-Wynnefield Heights 10
42101012500,Fairmount-Spring Garden,8.431132317,Average,260,Particulate matter concentration,Greater Center City,Fairmount-Spring Garden 1
