geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101032900,Mayfair-Holmesburg,47.75383394144935,Average,201,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 7
42101033000,Mayfair-Holmesburg,46.82008692985742,Average,214,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 8
42101033101,Mayfair-Holmesburg,58.67664321995372,Above Average,85,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 9
42101033102,Mayfair-Holmesburg,44.33907340796415,Average,241,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 10
42101033200,Mayfair-Holmesburg,52.76366584270789,Average,140,Health and Wellness,Lower Northeast (East),Mayfair-Holmesburg 11
42101033300,Mayfair-Holmesburg,27.417799934266768,Below Average,348,Health and Wellness,Lower Northeast (West),Mayfair-Holmesburg 12
42101033400,Rhawnhurst-Fox Chase,34.58083775926602,Below Average,315,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 1
42101033500,Rhawnhurst-Fox Chase,49.80680229502837,Average,174,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 2
42101033600,Rhawnhurst-Fox Chase,55.07450759464297,Average,115,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 3
42101033701,Rhawnhurst-Fox Chase,25.292830189016115,Below Average,356,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 4
42101033702,Rhawnhurst-Fox Chase,46.296746812200105,Average,219,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 5
42101033800,Rhawnhurst-Fox Chase,46.25340025485261,Average,221,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 6
42101033900,Rhawnhurst-Fox Chase,46.82794693113321,Average,213,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 7
42101034000,Rhawnhurst-Fox Chase,44.31322692329239,Average,243,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 8
42101034100,Rhawnhurst-Fox Chase,57.356835964531484,Average,95,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 9
42101034200,Rhawnhurst-Fox Chase,27.560557252464235,Below Average,347,Health and Wellness,Lower Northeast (West),Rhawnhurst-Fox Chase 10
42101034400,Bustleton,42.818958682381506,Average,258,Health and Wellness,Far Northeast,Bustleton 1
42101034501,Bustleton,26.755866626932033,Below Average,352,Health and Wellness,Far Northeast,Bustleton 2
42101034502,Bustleton,53.346751065358674,Average,134,Health and Wellness,Far Northeast,Bustleton 3
42101034600,Torresdale South-Pennypack Park,44.59477760105793,Average,239,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 1
42101034701,Torresdale South-Pennypack Park,48.2020957490387,Average,191,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 2
42101034702,Torresdale South-Pennypack Park,51.59282888899405,Average,151,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 3
42101034801,Torresdale South-Pennypack Park,39.01707551433302,Below Average,290,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 4
42101034802,Torresdale South-Pennypack Park,55.355401327093226,Average,113,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 5
42101034803,Torresdale South-Pennypack Park,45.27957626346652,Average,231,Health and Wellness,Far Northeast,Torresdale South-Pennypack Park 6
